order_id,Date,Timestamp,placement,target_group,IP,time_difference_second,conv_time,category,source,state,vendor,type,creative_name_clean,device,language,audience,time_difference_min,time_difference_day,month,Right_time_difference_day,attribution_rate,Right_attribution_rate
837,12/2/2019,12/2/2019 3:14:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,99.203.50.76,4075,2019-12-02 03:14:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,68,1,12,,,0.697938527208506
838,12/15/2019,12/15/2019 18:29:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,107.77.189.5,4079,2019-12-15 18:29:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,68,1,12,,,0.697698728817535
839,12/9/2019,12/9/2019 16:36:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDHBELOW40_SPA1X1,U?,172.58.99.189,4080,2019-12-09 16:36:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android Spanish Below40,Android,Spanish,Below40,68,1,12,,,0.697638792094362
840,11/20/2019,11/20/2019 20:27:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPBELOW40_ENG1X1,U?,38.121.52.56,4086,2019-11-20 20:27:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop English Below40,Desktop,English,Below40,69,1,11,,,0.697279279867635
841,12/11/2019,12/11/2019 17:06:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMBELOW40_ENG1X1,U?,107.77.205.234,4089,2019-12-11 17:06:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English Below40,iOS,English,Below40,69,1,12,,,0.697099593235147
844,12/3/2019,12/3/2019 20:48:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDHBELOW40_SPA1X1,U?,172.58.109.82,4116,2019-12-03 20:48:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android Spanish Below40,Android,Spanish,Below40,69,1,12,,,0.695484495821577
845,11/21/2019,11/21/2019 2:13:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_IOSGMINMARKET_ENG1X1,U?,172.58.45.117,4117,2019-11-21 02:13:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,69,1,11,,,0.695424749314989
846,12/10/2019,12/10/2019 20:57:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,192.55.241.100,4119,2019-12-10 20:57:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,69,1,12,,,0.695305271699177
847,12/4/2019,12/4/2019 23:39:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,107.77.198.196,4140,2019-12-04 23:39:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,69,1,12,,,0.694051995369563
848,12/11/2019,12/11/2019 17:39:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSINMARKET_ENG1X1,U?,172.58.111.220,4142,2019-12-11 17:39:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,70,1,12,,,0.693932753600073
